gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSG00000101255	99.4995235472503	1.61337723279121	0.159872210681775	10.0916677508303	6.01389566639949e-24	5.66087999078184e-20	TRIB3
ENSG00000188229	269.370501598341	-1.44155462404415	0.166108137969144	-8.67841059245353	4.01337860084421e-18	1.88889663848733e-14	TUBB4B
ENSG00000140105	103.933951749743	1.38401272949376	0.168342633458589	8.22140358065752	2.01135175224976e-16	6.31095134797567e-13	WARS1
ENSG00000204389	4588.98340542815	-2.21609995627534	0.284037864054564	-7.80212864806514	6.08715444107901e-15	1.43245961884692e-11	HSPA1A
ENSG00000168268	95.9939967510825	-0.991217544062249	0.14531887332882	-6.82098285898055	9.04197314600242e-12	1.70224186446642e-08	NT5DC2
ENSG00000175197	66.3963642240628	1.80321947845934	0.265456226841573	6.79290706386602	1.09896180570577e-11	1.72408791285141e-08	DDIT3
ENSG00000169136	52.9680947166413	1.36063996066842	0.204521635046259	6.65279230904189	2.87583887484774e-11	3.86718161842025e-08	ATF5
ENSG00000130766	80.7558759287906	1.90874733701092	0.288080274149235	6.62574812748936	3.45493847416912e-11	4.06516698216924e-08	SESN2
ENSG00000135269	47.0859836438045	1.37547312784062	0.216299193397866	6.35912277911524	2.02909174927844e-10	2.12220451510643e-07	TES
ENSG00000106070	40.2969617541299	1.32974083084373	0.213350328721637	6.23266361393179	4.58570183359882e-10	4.31652113596657e-07	GRB10
ENSG00000185262	86.3556012742754	0.8819471737657	0.142173541943483	6.20331435588974	5.52862488530353e-10	4.73099509503292e-07	UBALD2
ENSG00000269893	127.504352471966	0.878253985807775	0.145549792575735	6.03404491525322	1.59905587504625e-09	1.25432607931753e-06	SNHG8
ENSG00000204388	316.630495959483	-2.2136483834127	0.371183523335203	-5.96375712887888	2.46503053742742e-09	1.7848717268311e-06	HSPA1B
ENSG00000092621	55.7276051640515	1.61412272680868	0.27317937517944	5.90865516750094	3.44911838232481e-09	2.31903938091596e-06	PHGDH
ENSG00000152518	72.5991210048099	-0.962481141419249	0.169271070243235	-5.68603447733985	1.30023156340697e-08	8.02205452398189e-06	ZFP36L2
ENSG00000100285	21.8023712319865	-1.53235165530841	0.269879919662934	-5.67790170243951	1.36357030047498e-08	8.02205452398189e-06	NEFH
ENSG00000109971	968.77266830836	-1.14903851524174	0.203812733480977	-5.63771701412849	1.72319376081016e-08	9.19992908192468e-06	HSPA8
ENSG00000153879	47.868930814614	1.43164333615426	0.254101108396485	5.6341483324835	1.75925553462917e-08	9.19992908192468e-06	CEBPG
ENSG00000103257	71.9075215585487	1.08254241698489	0.192512729732046	5.62322511603081	1.87424899687178e-08	9.28542410923898e-06	SLC7A5
ENSG00000137193	182.221207262469	0.951902955926151	0.176719375042145	5.38652287390183	7.18337911211058e-08	3.38085737911485e-05	PIM1
ENSG00000166986	119.628862358952	0.702529744164114	0.133421862225394	5.26547697990685	1.39825840628874e-07	6.26752684685518e-05	MARS1
ENSG00000139269	8.18282763555103	3.78818697608355	0.721639302071915	5.24941887894299	1.52579771283179e-07	6.5283335776753e-05	INHBE
ENSG00000266976	127.550544727919	-0.874920511226164	0.171707221942901	-5.09542057303278	3.47967888734036e-07	0.000142409640724064	ENSG00000266976
ENSG00000285774	17.3214831931042	1.36197598749576	0.267866900345533	5.08452513445631	3.68546964065687e-07	0.000144547190531263	SAMD4A-AS1
ENSG00000031698	117.821113061373	0.728851394484793	0.143879200073277	5.0657175888773	4.06864735047828e-07	0.000153192710040208	SARS1
ENSG00000178104	59.3313241661318	0.677604232173992	0.135552251644912	4.99884158286813	5.76757620353754e-07	0.000206445375329913	PDE4DIP
ENSG00000051108	52.1601911371641	1.67000956781202	0.334419545809629	4.993755863668	5.92162449156235e-07	0.000206445375329913	HERPUD1
ENSG00000100889	43.7774076945311	1.38746965426783	0.279116318863279	4.97093706279303	6.66300778869202e-07	0.000218639992148238	PCK2
ENSG00000148296	61.1096180194436	-1.09173992544415	0.21971789836319	-4.96882563312853	6.73596066323052e-07	0.000218639992148238	SURF6
ENSG00000110619	84.1894199202752	1.00929170221988	0.205109144817117	4.92075427997034	8.62113121956885e-07	0.000270502360566005	CARS1
ENSG00000174951	16.1649929334288	1.42461012512174	0.290522182097077	4.90361911382626	9.40868449691238e-07	0.000285690152159472	FUT1
ENSG00000086061	198.773173841161	-0.897764472663351	0.184041613919707	-4.87805150988854	1.07138949163709e-06	0.000308183101468738	DNAJA1
ENSG00000135842	23.4167052336163	1.40021913442881	0.287142310051818	4.87639433623046	1.08042519371809e-06	0.000308183101468738	NIBAN1
